text,disease
I feel terrible with muscle tension and irritability.,Generalized Anxiety Disorder
"Doctor, I've had abdominal cramping, gas, alternating diarrhea and constipation and mucus in stool for the past few days.",Irritable Bowel Syndrome
I cannot sleep because of emotional exhaustion and chronic physical fatigue.,Chronic Stress / Burnout
"Clinical notes: Patient presenting with sudden shortness of breath, sharp chest pain on breathing and coughing blood.",Pulmonary Embolism
"I cannot sleep because of fluttering in chest, slow heartbeat, dizziness and fainting episodes.",Arrhythmia
"I feel terrible with extreme thirst, frequent urination, fatigue and blurred vision.",Diabetes Type 1
"Suffering from sneezing, sore throat, nasal congestion and mild headache, need medical guidance.",Common Cold
Feeling fatigue,Major Depressive Disorder
Feeling persistent cough,Bronchitis
"Noticed severe vomiting, low-grade fever, rebound tenderness",Appendicitis
Experiencing emotional exhaustion,Chronic Stress / Burnout
I'm experiencing bumps and blisters and burning sensation.,Contact Dermatitis
I have gritty feeling in eye,Conjunctivitis
I have watery discharge,Conjunctivitis
"Noticed severe nausea, sound sensitivity, dizziness",Migraine
"Suffering from crushing chest pain, cold sweat and severe nausea, need medical guidance.",Heart Attack
I feel terrible with night sweats and unexplained weight loss.,Tuberculosis
"Doctor, I've had prolonged step-ladder fever, headache, stomach pain and rose-colored rash for the past few days.",Typhoid Fever
Lately I have been feeling fever and loss of appetite.,Chickenpox
"Clinical notes: Patient presenting with arm weakness, sudden severe headache and vision loss.",Stroke
"I have sweating, rapid heartbeat, blurred vision",Hypoglycemia
"Feeling sudden severe pain in upper right abdomen, pain radiating to right shoulder, nausea",Gallstones
I have low-grade fever,Appendicitis
"Feeling dry mouth, dizziness upon standing, sunken eyes",Dehydration
Experiencing acute severe sore throat and headache.,Mononucleosis
"Patient presenting with dry cracked skin that may bleed, itching or burning skin, pitted thickened nails",Psoriasis
It started yesterday with round coin-sized smooth bald patches on scalp and sudden hair loss.,Alopecia Areata
"Doctor, I've had sudden high fever, severe headache and pain behind the eyes for the past few days.",Dengue Fever
I have blood in urine,Acute Cystitis
"Patient presenting with rapid heart rate, heat intolerance, bulging eyes",Hyperthyroidism
It started yesterday with pink or red discoloration of eye and crusty eyelids in morning.,Conjunctivitis
"Suffering from heartburn, chest burning and chronic dry cough, need medical guidance.",GERD
"Experiencing severe upper abdominal pain radiating to back, nausea, fever",Pancreatitis
"Experiencing chest tightness during activity, fainting or dizziness upon standing, heart murmur",Aortic Stenosis
"Experiencing chronic diarrhea, bloating, weight loss",Celiac Disease
"Experiencing acute gradual numbness in feet, burning pain in hands, extreme sensitivity to touch and muscle weakness.",Peripheral Neuropathy
I have scaly skin,Fungal Skin Infection
"Experiencing persistent excessive worry, irritability, sleep disturbance",Generalized Anxiety Disorder
"Feeling high fever, chills, fatigue",Pneumonia
"Noticed severe headache, constipation or diarrhea, rose-colored rash",Typhoid Fever
"I have bone pain and muscle weakness, what could this be?",Vitamin D Deficiency
"Suffering from throbbing headache, visual aura, dizziness",Migraine
My main issues right now are rose-colored rash and extreme fatigue.,Typhoid Fever
"Over the last 48 hours, I noticed chronic diarrhea, gas, fatigue and skin rash.",Celiac Disease
Feeling intense skin itching,Eczema
"Patient presenting with nausea, dark stools, unexplained weight loss",Peptic Ulcer
"I have shakiness, sweating, dizziness and confusion, what could this be?",Hypoglycemia
Experiencing circular red itchy rash with raised edges,Fungal Skin Infection
"Patient presenting with unintended weight loss, heat intolerance, anxiety",Hyperthyroidism
"Doctor, I've had nasal congestion, headache and pressure around eyes for the past few days.",Sinusitis
"I have bullseye skin rash, fever, stiff neck",Lyme Disease
My main issues right now are sudden high fever and joint and muscle ache.,Dengue Fever
I have recurrent abdominal cramps,Crohn's Disease
"Been having high fever, fatigue, sore throat",Influenza
"It started yesterday with cough with phlegm, chills and rapid breathing.",Pneumonia
"Suffering from visual flashes, throbbing head pain, nausea",Migraine with Aura
"Patient presenting with fluttering in chest, racing heartbeat, lightheadedness",Arrhythmia
"Over the last 48 hours, I noticed sharp stabbing facial pain, pain triggered by chewing or brushing teeth and spontaneous facial spasms.",Trigeminal Neuralgia
"It started yesterday with unexplained weight gain, cold intolerance, dry skin and constipation.",Hypothyroidism
"I've been dealing with sudden high fever, pain behind the eyes and skin rash and it is getting worse.",Dengue Fever
"I feel terrible with severe sore throat, pain with swallowing, fever and swollen neck lymph nodes.",Pharyngitis
Experiencing swelling in ankles and feet,Chronic Kidney Disease
"I have animal bite on skin, anxiety, agitation",Rabies Exposure
Experiencing mild fever,Bronchitis
I'm experiencing shortness of breath and fever.,Pleural Effusion
"Woke up today with tingling around bite site, headache and agitation.",Rabies Exposure
Experiencing weight loss,Celiac Disease
"Patient reports high fever, dry cough and sore throat with increasing discomfort.",Influenza
"Suffering from breathlessness with exercise, fainting or dizziness upon standing, heart murmur",Aortic Stenosis
Patient reports light sensitivity and dizziness with increasing discomfort.,Migraine
"Patient presenting with fatigue, poor appetite, dark urine",Hepatitis B
Feeling irritability,Otitis Media
"Experiencing acute acid regurgitation, difficulty swallowing and chronic dry cough.",GERD
"Lately I have been feeling fatigue, body aches, stiff neck and swollen lymph nodes.",Lyme Disease
Experiencing fluttering in chest,Arrhythmia
Experiencing acute muscle stiffness and shuffling gait.,Parkinson's Disease
"I'm experiencing slow-healing cuts, tingling in hands and feet and fatigue.",Diabetes Type 2
"Suffering from tiredness, loss of appetite and red spots on skin, need medical guidance.",Chickenpox
"I'm experiencing rapidly expanding redness, fever and blisters over red area.",Cellulitis
"I've been dealing with difficulty falling asleep, waking up during the night and waking up too early and it is getting worse.",Insomnia Disorder
"My main issues right now are high fever, flank pain on one side and vomiting.",Pyelonephritis
I cannot sleep because of runny nose and red watery eyes.,Measles
"Patient presenting with swelling in one calf or leg, warmth in affected leg, redness of skin on leg",Deep Vein Thrombosis
Experiencing bleeding gums,Scurvy
Experiencing blood in urine,Kidney Stones
Experiencing persistent diarrhea,Crohn's Disease
Experiencing sudden intense terror,Panic Disorder
"Woke up today with joint swelling, rash and headache.",Chikungunya
"Woke up today with high fever, shivering chills and vomiting.",Pyelonephritis
Feeling cynicism and detachment,Chronic Stress / Burnout
"Doctor, I've had difficulty falling asleep, waking up during the night, waking up too early and irritability for the past few days.",Insomnia Disorder
Feeling fatigue,Rheumatoid Arthritis
Lately I have been feeling dry skin and constipation.,Hypothyroidism
"Doctor, I've had swelling in ankles and feet, persistent fatigue, loss of appetite",Chronic Kidney Disease
"Over the last 48 hours, I noticed sudden intense terror, pounding racing heart, sweating and trembling.",Panic Disorder
Feeling bloating,Peptic Ulcer
Experiencing frequent nighttime urination,Diabetes Type 2
"Suffering from cynicism and detachment and frequent headaches, need medical guidance.",Chronic Stress / Burnout
Feeling trembling,Postural Orthostatic Tachycardia (POTS)
"Patient reports squeezing chest pain with physical exertion, pressure in chest relieved by rest and nausea with increasing discomfort.",Angina Pectoris
Experiencing wheezing,Asthma
"Suffering from jaundice and loss of appetite, need medical guidance.",Hepatitis C
Experiencing pale appearance,Thalassemia Minor
"I have fatigue, unexplained weight gain and dry skin, what could this be?",Hypothyroidism
Feeling fatigue,Diabetes Type 2
"My main issues right now are shivering chills, headache and body ache.",Malaria
I've been dealing with low-grade fever and loss of appetite and it is getting worse.,Appendicitis
I have severe itching,Contact Dermatitis
"I'm experiencing cyclical high fever, headache and body ache.",Malaria
I feel terrible with rapid pulse and tenderness to touch.,Pancreatitis
Clinical notes: Patient presenting with abdominal cramping and mucus in stool.,Irritable Bowel Syndrome
I have tightness across forehead,Tension Headache
I have vomiting,Pyelonephritis
"I have dry mouth, dizziness upon standing and sunken eyes, what could this be?",Dehydration
Feeling sour taste in mouth,GERD
"Doctor, I've had swelling in one calf or leg, throbbing calf pain, warmth in affected leg and redness of skin on leg for the past few days.",Deep Vein Thrombosis
"Suffering from pain behind the eyes, skin rash, mild bleeding",Dengue Fever
I cannot sleep because of nausea and vomiting.,Gastroenteritis
Feeling elevated liver enzymes,Fatty Liver Disease
Clinical notes: Patient presenting with numbness and tingling in thumb index and middle fingers and pain radiating up forearm.,Carpal Tunnel Syndrome
"Patient presenting with sudden intense terror, feeling of choking, fear of losing control",Panic Disorder
Feeling feelings of worthlessness,Major Depressive Disorder
Feeling fatigue,Hepatitis A
Feeling nosebleeds,Hypertension
"Suffering from high fever, cough with phlegm, shortness of breath and rapid breathing, need medical guidance.",Pneumonia
Feeling extreme fatigue,Iron Deficiency Anemia
"Patient reports sudden severe pain in upper right abdomen, nausea and indigestion after fatty meals with increasing discomfort.",Gallstones
Experiencing squeezing chest pain with physical exertion,Angina Pectoris
"Doctor, I've had joint pain during or after movement, joint stiffness in mornings and loss of joint flexibility for the past few days.",Osteoarthritis
I have feelings of worthlessness,Major Depressive Disorder
I have shortness of breath,Hypertension
Woke up today with easy or excessive bruising and nosebleeds.,Thrombocytopenia
"Lately I have been feeling dry cough, headache and sore throat.",Influenza
"Lately I have been feeling fatigue, poor appetite, yellowing of skin and eyes and joint pain.",Hepatitis B
"Suffering from nausea, abdominal pain, loss of appetite",Hepatitis A
Feeling breathlessness with exercise,Aortic Stenosis
"Feeling squeezing chest pain with physical exertion, shortness of breath, nausea",Angina Pectoris
"Suffering from bloating, loss of appetite and belching, need medical guidance.",Gastritis
"I have loss of voice, tickling sensation in throat, dry throat and dry cough, what could this be?",Laryngitis
"I feel terrible with facial redness across cheeks and nose, visible broken blood vessels, swollen red bumps resembling acne and eye irritation.",Rosacea
Feeling anxiety,Hyperthyroidism
I feel terrible with bone pain and chronic fatigue.,Vitamin D Deficiency
"I've been dealing with extreme fatigue, weakness and cold hands and feet and it is getting worse.",Iron Deficiency Anemia
"Been having stomach cramps, vomiting, dehydration",Gastroenteritis
"Lately I have been feeling extreme fatigue, hyperpigmentation (darkened skin), nausea and dizziness.",Addison's Disease
Experiencing dull discomfort in upper right abdomen,Fatty Liver Disease
I feel terrible with severe crippling joint pain and joint swelling.,Chikungunya
Feeling trembling hands,Hyperthyroidism
"Doctor, I've had sharp ear pain, muffled hearing, fever",Otitis Media
Feeling red skin patches covered with thick silvery scales,Psoriasis
"Feeling hoarseness, dry throat, dry cough",Laryngitis
I cannot sleep because of nausea and painful urination.,Kidney Stones
I feel terrible with pain radiating to lower abdomen and groin and nausea.,Kidney Stones
"Over the last 48 hours, I noticed crushing chest pain, cold sweat, shortness of breath and dizziness.",Heart Attack
"I have chest pain on deep inhalation and shortness of breath, what could this be?",Pleural Effusion
"Suffering from fatigue, headache, sore throat",Influenza
"Feeling heartburn, acid regurgitation, chest burning",GERD
"Noticed severe cynicism and detachment, reduced personal accomplishment, chronic physical fatigue",Chronic Stress / Burnout
"Patient reports acid regurgitation, chest burning, difficulty swallowing and sour taste in mouth with increasing discomfort.",GERD
Lately I have been feeling rapid heart rate upon standing and brain fog.,Postural Orthostatic Tachycardia (POTS)
Lately I have been feeling frequent painful urination and cloudy foul-smelling urine.,Acute Cystitis
"I have mucus production, chest discomfort, fatigue and wheezing, what could this be?",Bronchitis
"Feeling high fever, shivering chills, painful frequent urination",Pyelonephritis
Experiencing crusty eyelids in morning,Conjunctivitis
"Been having prolonged step-ladder fever, stomach pain, extreme fatigue",Typhoid Fever
Experiencing burning sensation when urinating,Urinary Tract Infection
I'm experiencing fever and headache.,Mononucleosis
"Experiencing acute yellowing of skin and eyes, dark urine, joint pain and nausea.",Hepatitis B
"I have racing heartbeat, slow heartbeat, lightheadedness and fainting episodes, what could this be?",Arrhythmia
"Feeling sudden intense terror, chest tightness, fear of losing control",Panic Disorder
I have breathlessness with exercise,Aortic Stenosis
Feeling chronic dry cough,GERD
"Suffering from persistent cough, mucus production and fatigue, need medical guidance.",Bronchitis
"I feel terrible with bloating, fatigue, skin rash and iron deficiency.",Celiac Disease
Experiencing pain relieved by sitting up and leaning forward,Pericarditis
"Woke up today with raised red itchy welts, intense itching and burning sensation on skin.",Urticaria
"I feel terrible with sudden severe pain in upper right abdomen, vomiting and indigestion after fatty meals.",Gallstones
"I'm experiencing joint aches, mild upper right abdominal discomfort and jaundice.",Hepatitis C
"I feel terrible with bleeding gums, corkscrew body hair, bruising easily and slow wound healing.",Scurvy
"Been having fatigue, dull discomfort in upper right abdomen, elevated liver enzymes",Fatty Liver Disease
Feeling bulging eyes,Hyperthyroidism
"Patient presenting with fainting or dizziness upon standing, heart murmur, fatigue",Aortic Stenosis
I have vomiting,Gastroenteritis
"Woke up today with red swollen tender skin area, skin warm to touch and rapidly expanding redness.",Cellulitis
"Doctor, I've had red skin patches covered with thick silvery scales and itching or burning skin for the past few days.",Psoriasis
I have temporary numbness on one side,Transient Ischemic Attack (TIA)
"Over the last 48 hours, I noticed bloody diarrhea, cramping abdominal pain, weight loss and fever.",Ulcerative Colitis
I feel terrible with runny nose and mild cough.,Common Cold
Experiencing enlarged spleen,Mononucleosis
Experiencing fainting episodes,Arrhythmia
"I'm experiencing electric shock sensations, tremor, vision loss in one eye and fatigue.",Multiple Sclerosis
"Doctor, I've had emotional exhaustion, cynicism and detachment, digestive upset",Chronic Stress / Burnout
"Woke up today with extreme thirst, dark yellow urine and dizziness upon standing.",Dehydration
"Lately I have been feeling sudden intense terror, pounding racing heart and trembling.",Panic Disorder
Experiencing sunken eyes,Dehydration
"I'm experiencing arm weakness, sudden severe headache, loss of balance and vision loss.",Stroke
Experiencing acute waking up during the night and difficulty concentrating.,Insomnia Disorder
"Patient presenting with shakiness, rapid heartbeat, hunger",Hypoglycemia
Experiencing urgent need to defecate,Ulcerative Colitis
"Doctor, I've had easy or excessive bruising, bleeding gums, nosebleeds",Thrombocytopenia
Experiencing redness of skin on leg,Deep Vein Thrombosis
Experiencing difficulty breathing,Asthma
"Doctor, I've had extreme fatigue, severe sore throat, swollen lymph nodes in neck and headache for the past few days.",Mononucleosis
"Doctor, I've had fatigue and nausea for the past few days.",Hepatitis A
Feeling difficulty breathing,Asthma
"Woke up today with cynicism and detachment, reduced personal accomplishment and digestive upset.",Chronic Stress / Burnout
I have cyclical high fever,Malaria
Experiencing tingling or numbness in arms or fingers,Cervical Spondylosis
"Doctor, I've had sharp chest pain on breathing and coughing blood for the past few days.",Pulmonary Embolism
"Patient presenting with nausea, vomiting, low-grade fever",Appendicitis
Feeling circular red itchy rash with raised edges,Fungal Skin Infection
Patient reports scaly skin and cracked skin with increasing discomfort.,Fungal Skin Infection
"Over the last 48 hours, I noticed numbness in limbs and vision loss in one eye.",Multiple Sclerosis
I have fatigue,Hepatitis A
"I have bloating, fatigue, iron deficiency",Celiac Disease
Experiencing cold hands and feet,Iron Deficiency Anemia
"Feeling dizziness on standing, brain fog, extreme fatigue",Postural Orthostatic Tachycardia (POTS)
Lately I have been feeling severe acne and ovarian cysts.,Polycystic Ovary Syndrome
"I have easy bruising, high blood pressure and muscle weakness, what could this be?",Cushing's Syndrome
"Doctor, I've had gradual loss of peripheral vision, tunnel vision in advanced stages and severe eye pain with halo around lights for the past few days.",Glaucoma
"My main issues right now are tingling in hands and feet, memory problems and pale or jaundiced skin.",Vitamin B12 Deficiency
"Over the last 48 hours, I noticed white or yellow coating on tonsils, painful swallowing, fever and bad breath.",Tonsillitis
Experiencing swollen neck lymph nodes,Pharyngitis
"I cannot sleep because of rapid heartbeat, dizziness, confusion and hunger.",Hypoglycemia
Feeling excessive daytime sleepiness,Sleep Apnea
I have irritability,Generalized Anxiety Disorder
"Doctor, I've had fatigue, dark urine, joint pain",Hepatitis B
I cannot sleep because of dizziness and chest tightness.,Hypertension
"Noticed severe chest discomfort, mild fever, wheezing",Bronchitis
Experiencing pain worse when sitting,Sciatica
Feeling frequent urination,Diabetes Type 1
"Doctor, I've had upper abdominal pain, burning stomach, loss of appetite",Gastritis
I have red spots on skin,Chickenpox
"Woke up today with chronic cough, shortness of breath with exertion, wheezing and fatigue.",COPD
I have elevated liver enzymes,Fatty Liver Disease
"Doctor, I've had tingling around bite site, fever, agitation",Rabies Exposure
I have fatigue,Major Depressive Disorder
Feeling gradual numbness in feet,Peripheral Neuropathy
"Experiencing fever, dry cough, fatigue",COVID-19
"Experiencing neck pain and stiffness, tingling or numbness in arms or fingers, grinding noise when turning neck",Cervical Spondylosis
It started yesterday with sharp shooting pain from lower back down leg and pain worse when sitting.,Sciatica
"Patient reports blind spots, throbbing head pain and nausea with increasing discomfort.",Migraine with Aura
"Over the last 48 hours, I noticed shortness of breath with exertion and chest tightness.",COPD
"Feeling dry cracked scaly skin, bumps and blisters, burning sensation",Contact Dermatitis
"Over the last 48 hours, I noticed sudden facial drooping and slurred speech.",Stroke
I have burning stomach,Gastritis
"I have sudden high fever, severe headache, joint and muscle ache and skin rash, what could this be?",Dengue Fever
"Patient presenting with sharp ear pain, muffled hearing, feeling of fullness in ear",Otitis Media
"Doctor, I've had stomach cramps, vomiting, mild fever and body aches for the past few days.",Gastroenteritis
"Doctor, I've had fever, nausea and abdominal tenderness for the past few days.",Diverticulitis
"Lately I have been feeling rapid heart rate upon standing, dizziness on standing, brain fog and palpitations.",Postural Orthostatic Tachycardia (POTS)
"Doctor, I've had sudden shortness of breath and rapid heart rate for the past few days.",Pulmonary Embolism
"Woke up today with increased thirst, frequent nighttime urination, tingling in hands and feet and darkened skin patches.",Diabetes Type 2
"Experiencing acute brief speech slurring, transient vision loss, temporary dizziness and arm weakness.",Transient Ischemic Attack (TIA)
"Woke up today with persistent diarrhea, weight loss, fatigue and rectal bleeding.",Crohn's Disease
Experiencing numbness and tingling in thumb index and middle fingers,Carpal Tunnel Syndrome
I have strong smelling urine,Urinary Tract Infection
"I've been dealing with muscle cramps and spasms, dizziness and extreme fatigue and it is getting worse.",Electrolyte Imbalance
My main issues right now are abdominal cramping and alternating diarrhea and constipation.,Irritable Bowel Syndrome
"Clinical notes: Patient presenting with fluttering in chest, slow heartbeat and fainting episodes.",Arrhythmia
"I've been dealing with fatigue, dry skin and constipation and it is getting worse.",Hypothyroidism
"I have persistent diarrhea, mouth sores and rectal bleeding, what could this be?",Crohn's Disease
"Doctor, I've had persistent cough for more than 3 weeks, coughing blood, night sweats and unexplained weight loss for the past few days.",Tuberculosis
I have frequent eyeglasses changes,Cataract
"I feel terrible with reduced personal accomplishment, frequent headaches and digestive upset.",Chronic Stress / Burnout
Experiencing deep painful cystic lumps,Acne Vulgaris
"Feeling faded colors, glare and halos around headlights, frequent eyeglasses changes",Cataract
I have feeling of incomplete evacuation,Constipation
Experiencing acute frequent sneezing and itchy roof of mouth.,Allergic Rhinitis
Experiencing acute watery discharge and crusty eyelids in morning.,Conjunctivitis
"Doctor, I've had prolonged step-ladder fever, headache, rose-colored rash",Typhoid Fever
"I have nausea, vomiting and loss of appetite, what could this be?",Appendicitis
"My main issues right now are swelling in ankles and feet, nausea and loss of appetite.",Chronic Kidney Disease
"I cannot sleep because of persistent cough, mucus production, mild fever and wheezing.",Bronchitis
Feeling sore throat,Common Cold
"I have crushing chest pain, pain radiating to left arm neck or jaw, cold sweat and dizziness, what could this be?",Heart Attack
Lately I have been feeling heart murmur and fatigue.,Aortic Stenosis
Experiencing extreme hunger,Diabetes Type 1
"Lately I have been feeling fever, chills, fatigue and body aches.",Lyme Disease
I have unsteady gait,Multiple Sclerosis
"I've been dealing with corkscrew body hair, bruising easily, joint and muscle aches and fatigue and it is getting worse.",Scurvy
"Doctor, I've had round moon face, weight gain around abdomen, purple stretch marks",Cushing's Syndrome
"Clinical notes: Patient presenting with shakiness, dizziness, confusion and hunger.",Hypoglycemia
"Doctor, I've had extreme hunger and blurred vision for the past few days.",Diabetes Type 1
"Patient reports unintended weight loss, extreme hunger, fatigue and blurred vision with increasing discomfort.",Diabetes Type 1
Feeling rose-colored rash,Typhoid Fever
Feeling tiny blisters between fingers wrists and waistline,Scabies
Feeling tickling sensation in throat,Laryngitis
"Woke up today with gradual numbness in feet, extreme sensitivity to touch and muscle weakness.",Peripheral Neuropathy
I have red rash localized to area of contact,Contact Dermatitis
"Suffering from urgent need to defecate and fever, need medical guidance.",Ulcerative Colitis
"I cannot sleep because of pink or red discoloration of eye, gritty feeling in eye and crusty eyelids in morning.",Conjunctivitis
"Over the last 48 hours, I noticed rapid heart rate upon standing, dizziness on standing, extreme fatigue and palpitations.",Postural Orthostatic Tachycardia (POTS)
"Experiencing facial pain, thick nasal discharge, pressure around eyes",Sinusitis
Lately I have been feeling sudden severe headache and vision loss.,Stroke
"My main issues right now are itchy fluid-filled blisters, tiredness, loss of appetite and red spots on skin.",Chickenpox
Experiencing stiff neck,Lyme Disease
"Suffering from persistent cough, mucus production, chest discomfort and fatigue, need medical guidance.",Bronchitis
"Feeling extreme thirst, unintended weight loss, fatigue",Diabetes Type 1
"I feel terrible with extreme fatigue, fever and swollen lymph nodes in neck.",Mononucleosis
"Patient presenting with sweating, dizziness, hunger",Hypoglycemia
